,city,complaint_type,location_type
0,RIDGEWOOD,Noise - Commercial,Store/Commercial
1,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
2,BROOKLYN,Noise - Commercial,Store/Commercial
3,RIDGEWOOD,Noise - Commercial,Store/Commercial
4,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
5,NEW YORK,Drinking Water,1-3 Family Dwelling
7,BROOKLYN,Blocked Driveway,Street/Sidewalk
8,NEW YORK,Rodent,3+ Family Apt. Building
9,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
10,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
12,BROOKLYN,Illegal Parking,Street/Sidewalk
13,BRONX,Noise - Commercial,Club/Bar/Restaurant
14,NEW YORK,Noise - Vehicle,Street/Sidewalk
16,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
17,BROOKLYN,Noise - Commercial,Store/Commercial
18,HOLLIS,Illegal Parking,Street/Sidewalk
19,NEW YORK,Noise - Commercial,Store/Commercial
20,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
21,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
22,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
23,BROOKLYN,Illegal Parking,Street/Sidewalk
24,STATEN ISLAND,Illegal Parking,Street/Sidewalk
25,BROOKLYN,Illegal Parking,Street/Sidewalk
26,BROOKLYN,Noise - Commercial,Store/Commercial
27,BROOKLYN,Blocked Driveway,Street/Sidewalk
29,BRONX,Blocked Driveway,Street/Sidewalk
30,BROOKLYN,Illegal Parking,Street/Sidewalk
31,LONG ISLAND CITY,Noise - Commercial,Club/Bar/Restaurant
32,BROOKLYN,Noise - Vehicle,Street/Sidewalk
33,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
35,HOWARD BEACH,Illegal Parking,Street/Sidewalk
36,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
37,BROOKLYN,Illegal Parking,Street/Sidewalk
38,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
39,FOREST HILLS,Blocked Driveway,Street/Sidewalk
40,BROOKLYN,Blocked Driveway,Street/Sidewalk
43,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
44,FLUSHING,Illegal Parking,Street/Sidewalk
45,HOWARD BEACH,Illegal Parking,Street/Sidewalk
46,BRONX,Blocked Driveway,Street/Sidewalk
47,FLUSHING,Illegal Parking,Street/Sidewalk
48,BROOKLYN,Illegal Parking,Street/Sidewalk
49,ASTORIA,Noise - Commercial,Club/Bar/Restaurant
50,BROOKLYN,Illegal Parking,Street/Sidewalk
51,FLUSHING,Illegal Parking,Street/Sidewalk
52,FLUSHING,Illegal Parking,Street/Sidewalk
53,BROOKLYN,Window Guard,3+ Family Apartment Building
54,NEW YORK,Noise - Commercial,Store/Commercial
55,FLUSHING,Illegal Parking,Street/Sidewalk
56,BRONX,Blocked Driveway,Street/Sidewalk
59,BROOKLYN,Noise - Commercial,Store/Commercial
60,FLUSHING,Illegal Parking,Street/Sidewalk
61,NEW YORK,Illegal Parking,Street/Sidewalk
62,BROOKLYN,Sidewalk Condition,Sidewalk
64,BROOKLYN,Blocked Driveway,Street/Sidewalk
65,BROOKLYN,Noise - House of Worship,House of Worship
66,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
67,LONG ISLAND CITY,Animal Abuse,Street/Sidewalk
68,BROOKLYN,Noise - Commercial,Store/Commercial
69,JAMAICA,Illegal Parking,Street/Sidewalk
70,ASTORIA,Blocked Driveway,Street/Sidewalk
71,BROOKLYN,Noise - Commercial,Store/Commercial
72,EAST ELMHURST,Illegal Parking,Street/Sidewalk
74,JAMAICA,Illegal Parking,Street/Sidewalk
76,BROOKLYN,Asbestos,1-2 Family Dwelling
77,BROOKLYN,Illegal Parking,Street/Sidewalk
79,BRONX,Blocked Driveway,Street/Sidewalk
82,BROOKLYN,Illegal Parking,Street/Sidewalk
83,CORONA,Blocked Driveway,Street/Sidewalk
84,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
85,BRONX,Blocked Driveway,Street/Sidewalk
86,NEW YORK,Missed Collection (All Materials),Sidewalk
87,RIDGEWOOD,Noise - Street/Sidewalk,Street/Sidewalk
88,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
89,STATEN ISLAND,Illegal Parking,Street/Sidewalk
90,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
91,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
92,Rego Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
93,BROOKLYN,Illegal Parking,Street/Sidewalk
94,FLUSHING,Smoking,Residential Building
95,Far Rockaway,HEAT/HOT WATER,RESIDENTIAL BUILDING
96,BRONX,Noise - Commercial,Club/Bar/Restaurant
97,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
98,STATEN ISLAND,Blocked Driveway,Street/Sidewalk
99,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
100,Rego Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
101,BROOKLYN,Rodent,3+ Family Apt. Building
102,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
103,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
104,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
105,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
106,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
107,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
108,FOREST HILLS,Illegal Parking,Street/Sidewalk
109,QUEENS VILLAGE,Illegal Parking,Street/Sidewalk
110,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
111,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
112,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
113,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
115,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
116,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
117,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
118,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
119,BRONX,Illegal Parking,Street/Sidewalk
120,Far Rockaway,HEAT/HOT WATER,RESIDENTIAL BUILDING
121,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
122,Woodside,UNSANITARY CONDITION,RESIDENTIAL BUILDING
123,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
124,BRONX,Dirty Conditions,Sidewalk
125,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
127,WOODSIDE,Illegal Parking,Street/Sidewalk
128,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
129,NEW YORK,ELECTRIC,RESIDENTIAL BUILDING
130,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
131,BROOKLYN,Noise - Commercial,Store/Commercial
132,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
134,WOODSIDE,Illegal Parking,Street/Sidewalk
137,WOODHAVEN,Illegal Parking,Street/Sidewalk
138,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
139,BROOKLYN,Other Enforcement,Sidewalk
140,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
141,Springfield Gardens,HEAT/HOT WATER,RESIDENTIAL BUILDING
142,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
143,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
144,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
145,BRONX,Blocked Driveway,Street/Sidewalk
146,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
147,BROOKLYN,Blocked Driveway,Street/Sidewalk
148,BROOKLYN,Blocked Driveway,Street/Sidewalk
150,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
151,BROOKLYN,Dirty Conditions,Sidewalk
153,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
154,BRONX,Blocked Driveway,Street/Sidewalk
155,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
156,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
157,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
158,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
159,BROOKLYN,Dirty Conditions,Sidewalk
160,Ridgewood,HEAT/HOT WATER,RESIDENTIAL BUILDING
161,OZONE PARK,Blocked Driveway,Street/Sidewalk
162,NEW YORK,Noise - Vehicle,Street/Sidewalk
163,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
164,BROOKLYN,Illegal Parking,Street/Sidewalk
165,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
166,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
168,BRONX,Derelict Vehicles,Street
169,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
170,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
171,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
172,Kew Gardens,HEAT/HOT WATER,RESIDENTIAL BUILDING
173,Astoria,HEAT/HOT WATER,RESIDENTIAL BUILDING
174,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
175,BRONX,Derelict Vehicles,Street
176,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
177,BROOKLYN,DOOR/WINDOW,RESIDENTIAL BUILDING
178,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
179,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
180,BRONX,Derelict Vehicles,Street
181,FAR ROCKAWAY,Noise - Street/Sidewalk,Street/Sidewalk
182,Kew Gardens,HEAT/HOT WATER,RESIDENTIAL BUILDING
183,Flushing,UNSANITARY CONDITION,RESIDENTIAL BUILDING
184,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
185,BROOKLYN,Illegal Parking,Street/Sidewalk
186,NEW YORK,Noise - Vehicle,Street/Sidewalk
187,Kew Gardens,HEAT/HOT WATER,RESIDENTIAL BUILDING
188,BROOKLYN,Illegal Parking,Street/Sidewalk
189,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
190,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
192,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
193,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
194,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
195,BROOKLYN,Taxi Complaint,Street
196,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
197,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
199,BROOKLYN,Illegal Parking,Street/Sidewalk
200,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
201,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
202,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
203,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
204,BROOKLYN,For Hire Vehicle Complaint,Street
205,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
206,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
207,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
208,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
209,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
210,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
211,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
212,NEW YORK,GENERAL,RESIDENTIAL BUILDING
214,BRONX,Noise - Commercial,Club/Bar/Restaurant
215,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
216,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
217,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
219,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
220,BROOKLYN,Illegal Parking,Street/Sidewalk
221,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
222,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
223,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
224,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
226,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
227,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
228,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
229,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
230,BROOKLYN,For Hire Vehicle Complaint,Street
231,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
232,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
233,BROOKLYN,GENERAL,RESIDENTIAL BUILDING
234,BROOKLYN,FLOORING/STAIRS,RESIDENTIAL BUILDING
235,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
236,BROOKLYN,PLUMBING,RESIDENTIAL BUILDING
237,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
238,BROOKLYN,Illegal Parking,Street/Sidewalk
239,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
240,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
241,BROOKLYN,Blocked Driveway,Street/Sidewalk
242,BROOKLYN,Noise - Commercial,Store/Commercial
243,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
244,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
245,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
246,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
247,BROOKLYN,Noise - Commercial,Store/Commercial
248,NEW YORK,Taxi Complaint,Street
249,BROOKLYN,Illegal Parking,Street/Sidewalk
250,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
251,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
252,STATEN ISLAND,Posting Advertisement,Street/Sidewalk
253,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
254,Jamaica,Sanitation Condition,Street
255,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
256,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
257,BROOKLYN,Illegal Parking,Street/Sidewalk
258,FLUSHING,Illegal Parking,Street/Sidewalk
259,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
260,Kew Gardens,HEAT/HOT WATER,RESIDENTIAL BUILDING
262,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
263,BROOKLYN,Illegal Parking,Street/Sidewalk
264,BROOKLYN,SAFETY,RESIDENTIAL BUILDING
266,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
268,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
269,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
270,BRONX,Blocked Driveway,Street/Sidewalk
271,JAMAICA,Noise - Commercial,Club/Bar/Restaurant
272,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
273,CORONA,Illegal Parking,Street/Sidewalk
274,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
275,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
276,ELMHURST,Rodent,3+ Family Apt. Building
277,MASPETH,Blocked Driveway,Street/Sidewalk
278,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
279,RIDGEWOOD,Noise - Commercial,Club/Bar/Restaurant
280,BROOKLYN,Illegal Parking,Street/Sidewalk
281,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
282,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
283,BRONX,GENERAL,RESIDENTIAL BUILDING
284,EAST ELMHURST,Illegal Parking,Street/Sidewalk
285,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
286,BROOKLYN,Blocked Driveway,Street/Sidewalk
287,Flushing,HEAT/HOT WATER,RESIDENTIAL BUILDING
288,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
289,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
290,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
291,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
292,BROOKLYN,Derelict Vehicles,Street
293,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
294,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
295,FLUSHING,Illegal Parking,Street/Sidewalk
296,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
298,BROOKLYN,Illegal Parking,Street/Sidewalk
299,BROOKLYN,Indoor Air Quality,1-2 Family Dwelling
300,SOUTH OZONE PARK,Illegal Parking,Street/Sidewalk
301,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
302,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
303,BROOKLYN,Blocked Driveway,Street/Sidewalk
304,ASTORIA,Animal Abuse,Residential Building/House
306,NEW YORK,Taxi Report,Street
307,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
308,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
309,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
310,BRONX,PLUMBING,RESIDENTIAL BUILDING
311,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
312,BROOKLYN,Blocked Driveway,Street/Sidewalk
313,RIDGEWOOD,Noise - Commercial,Club/Bar/Restaurant
314,BROOKLYN,Blocked Driveway,Street/Sidewalk
315,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
316,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
317,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
318,SOUTH OZONE PARK,Illegal Parking,Street/Sidewalk
319,BRONX,PLUMBING,RESIDENTIAL BUILDING
320,BRONX,PLUMBING,RESIDENTIAL BUILDING
321,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
322,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
323,BROOKLYN,Noise - Vehicle,Street/Sidewalk
324,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
325,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
326,BRONX,Blocked Driveway,Street/Sidewalk
327,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
328,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
331,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
332,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
333,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
334,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
335,STATEN ISLAND,HEAT/HOT WATER,RESIDENTIAL BUILDING
336,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
337,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
338,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
339,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
340,SOUTH RICHMOND HILL,Blocked Driveway,Street/Sidewalk
341,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
342,RIDGEWOOD,Illegal Parking,Street/Sidewalk
343,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
344,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
345,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
346,BRONX,Fire Alarm - Replacement,Street Address
347,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
348,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
349,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
350,JACKSON HEIGHTS,Street Condition,Street
353,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
354,NEW YORK,Noise - Commercial,Store/Commercial
355,SOUTH OZONE PARK,Illegal Parking,Street/Sidewalk
356,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
357,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
358,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
359,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
360,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
361,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
362,MASPETH,Blocked Driveway,Street/Sidewalk
363,Flushing,HEAT/HOT WATER,RESIDENTIAL BUILDING
364,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
365,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
366,BRONX,Derelict Vehicles,Street
367,Sunnyside,HEAT/HOT WATER,RESIDENTIAL BUILDING
368,ASTORIA,Rodent,1-2 Family Dwelling
369,BRONX,GENERAL,RESIDENTIAL BUILDING
370,SOUTH OZONE PARK,Illegal Parking,Street/Sidewalk
371,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
372,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
373,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
374,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
375,RIDGEWOOD,Illegal Parking,Street/Sidewalk
376,BROOKLYN,Food Establishment,Restaurant/Bar/Deli/Bakery
377,BROOKLYN,Illegal Parking,Street/Sidewalk
378,FRESH MEADOWS,Noise - Commercial,Store/Commercial
379,BRONX,Blocked Driveway,Street/Sidewalk
380,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
381,BROOKLYN,Blocked Driveway,Street/Sidewalk
382,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
383,BROOKLYN,Blocked Driveway,Street/Sidewalk
384,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
385,BROOKLYN,Illegal Parking,Street/Sidewalk
386,BROOKLYN,WATER LEAK,RESIDENTIAL BUILDING
387,BROOKLYN,WATER LEAK,RESIDENTIAL BUILDING
388,BRONX,Blocked Driveway,Street/Sidewalk
389,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
390,NEW YORK,Derelict Vehicle,Street/Sidewalk
391,BROOKLYN,Blocked Driveway,Street/Sidewalk
393,BRONX,Food Establishment,Restaurant/Bar/Deli/Bakery
394,Astoria,UNSANITARY CONDITION,RESIDENTIAL BUILDING
395,Astoria,UNSANITARY CONDITION,RESIDENTIAL BUILDING
396,Astoria,DOOR/WINDOW,RESIDENTIAL BUILDING
397,NEW YORK,Food Poisoning,Restaurant/Bar/Deli/Bakery
398,Astoria,UNSANITARY CONDITION,RESIDENTIAL BUILDING
399,Astoria,HEAT/HOT WATER,RESIDENTIAL BUILDING
400,Astoria,UNSANITARY CONDITION,RESIDENTIAL BUILDING
401,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
403,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
404,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
406,Woodside,Dirty Conditions,Sidewalk
407,WOODHAVEN,Illegal Parking,Street/Sidewalk
408,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
409,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
410,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
411,BRONX,Blocked Driveway,Street/Sidewalk
412,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
413,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
414,JAMAICA,Blocked Driveway,Street/Sidewalk
415,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
416,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
417,FLUSHING,Blocked Driveway,Street/Sidewalk
418,Flushing,HEAT/HOT WATER,RESIDENTIAL BUILDING
419,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
420,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
421,NEW YORK,Broken Muni Meter,Street
422,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
423,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
424,CORONA,Noise - Street/Sidewalk,Street/Sidewalk
425,BROOKLYN,Blocked Driveway,Street/Sidewalk
426,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
428,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
430,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
431,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
433,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
434,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
435,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
436,BRONX,WATER LEAK,RESIDENTIAL BUILDING
437,RICHMOND HILL,Noise - Street/Sidewalk,Street/Sidewalk
438,BRONX,ELECTRIC,RESIDENTIAL BUILDING
439,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
440,BROOKLYN,Drinking,Club/Bar/Restaurant
443,RIDGEWOOD,Illegal Parking,Street/Sidewalk
444,Maspeth,HEAT/HOT WATER,RESIDENTIAL BUILDING
445,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
446,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
447,BROOKLYN,Illegal Parking,Street/Sidewalk
448,HOLLIS,Illegal Parking,Street/Sidewalk
449,BRONX,Derelict Vehicles,Street
450,NEW YORK,Damaged Tree,Street
454,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
455,BRONX,Illegal Parking,Street/Sidewalk
456,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
458,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
459,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
460,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
462,BROOKLYN,Noise - Vehicle,Street/Sidewalk
463,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
464,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
465,BROOKLYN,Derelict Vehicles,Street
467,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
468,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
469,Ridgewood,Sanitation Condition,Street
472,BROOKLYN,DOOR/WINDOW,RESIDENTIAL BUILDING
473,SUNNYSIDE,Bike/Roller/Skate Chronic,Street/Sidewalk
474,BRONX,Illegal Parking,Street/Sidewalk
475,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
476,SOUTH RICHMOND HILL,Blocked Driveway,Street/Sidewalk
477,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
478,NEW YORK,ELEVATOR,RESIDENTIAL BUILDING
479,BROOKLYN,Illegal Parking,Street/Sidewalk
480,WOODHAVEN,Illegal Parking,Street/Sidewalk
482,NEW YORK,Animal Abuse,Store/Commercial
483,NEW YORK,Taxi Complaint,Street
484,BROOKLYN,Blocked Driveway,Street/Sidewalk
485,CORONA,Blocked Driveway,Street/Sidewalk
486,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
487,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
488,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
490,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
491,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
492,BROOKLYN,Blocked Driveway,Street/Sidewalk
493,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
494,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
