,city,complaint_type,location_type
43585,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
43586,ASTORIA,Blocked Driveway,Street/Sidewalk
43587,STATEN ISLAND,Illegal Parking,Street/Sidewalk
43588,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
43589,WOODHAVEN,Illegal Parking,Street/Sidewalk
43590,NEW YORK,Street Condition,Street
43591,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
43592,WOODHAVEN,Blocked Driveway,Street/Sidewalk
43593,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
43594,MIDDLE VILLAGE,Illegal Parking,Street/Sidewalk
43596,BRONX,Blocked Driveway,Street/Sidewalk
43597,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
43598,BRONX,GENERAL,RESIDENTIAL BUILDING
43599,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
43600,BRONX,GENERAL,RESIDENTIAL BUILDING
43601,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
43602,BRONX,FLOORING/STAIRS,RESIDENTIAL BUILDING
43603,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
43604,BRONX,PLUMBING,RESIDENTIAL BUILDING
43605,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
43606,Flushing,HEAT/HOT WATER,RESIDENTIAL BUILDING
43607,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
43608,Arverne,HEAT/HOT WATER,RESIDENTIAL BUILDING
43609,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
43611,FLUSHING,Blocked Driveway,Street/Sidewalk
43612,JACKSON HEIGHTS,Noise - Commercial,Store/Commercial
43616,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
43617,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
43618,BROOKLYN,DOOR/WINDOW,RESIDENTIAL BUILDING
43619,BROOKLYN,SAFETY,RESIDENTIAL BUILDING
43620,Astoria,WATER LEAK,RESIDENTIAL BUILDING
43622,LONG ISLAND CITY,Illegal Parking,Street/Sidewalk
43623,BRONX,GENERAL,RESIDENTIAL BUILDING
43624,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
43625,BROOKLYN,Illegal Parking,Street/Sidewalk
43626,BROOKLYN,Noise - Commercial,Store/Commercial
43627,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
43628,Far Rockaway,HEAT/HOT WATER,RESIDENTIAL BUILDING
43629,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
43630,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
43631,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
43632,BRONX,Noise - Commercial,Store/Commercial
43633,FLUSHING,Animal Abuse,Residential Building
43635,BRONX,Blocked Driveway,Street/Sidewalk
43636,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
43637,NEW YORK,Noise - Commercial,Store/Commercial
43638,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
43639,BROOKLYN,Blocked Driveway,Street/Sidewalk
43640,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
43641,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
43642,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
43643,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
43644,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
43645,Astoria,HEAT/HOT WATER,RESIDENTIAL BUILDING
43647,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
43648,NEW YORK,Noise - Vehicle,Street/Sidewalk
43650,BROOKLYN,Blocked Driveway,Street/Sidewalk
43651,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
43652,BROOKLYN,Blocked Driveway,Street/Sidewalk
43655,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
43656,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
43657,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
43658,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
43659,NEW YORK,SAFETY,RESIDENTIAL BUILDING
43660,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
43661,NEW YORK,ELECTRIC,RESIDENTIAL BUILDING
43662,NEW YORK,ELECTRIC,RESIDENTIAL BUILDING
43663,NEW YORK,SAFETY,RESIDENTIAL BUILDING
43664,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
43665,NEW YORK,FLOORING/STAIRS,RESIDENTIAL BUILDING
43666,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
43667,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
43668,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
43669,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
43670,BRONX,Blocked Driveway,Street/Sidewalk
43671,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
43672,BROOKLYN,Illegal Parking,Street/Sidewalk
43673,BROOKLYN,Blocked Driveway,Street/Sidewalk
43674,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
43675,NEW YORK,Noise - Commercial,Store/Commercial
