School Name,Street Address,City,Coordinates
Franklin Delano Roosevelt High School,5800 20 Avenue,Brooklyn,"(40.6213242, -73.9825025)"
Urban Assembly School for Criminal Justice,4200 16 Avenue,Brooklyn,"(40.634906, -73.98183519999999)"
International High School at Lafayette,2630 Benson Avenue,Brooklyn,"(40.5936235, -73.9861442)"
Rachel Carson High School for Coastal Studies,521 West Avenue,Brooklyn,"(41.733613, -92.4523926)"
High School of Sports Management,2630 Benson Avenue,Brooklyn,"(40.5936235, -73.9861442)"
Abraham Lincoln High School,2800 Ocean Parkway,Brooklyn,"(40.5823822, -73.9682211)"
Kingsborough Early College School,2630 Benson Avenue,Brooklyn,"(40.5936235, -73.9861442)"
Edward R. Murrow High School,1600 Avenue L,Brooklyn,"(40.6198965, -73.95921589999999)"
John Dewey High School,50 Avenue X,Brooklyn,"(40.5876478, -73.9814451)"
Life Academy High School for Film and Music,2630 Benson Avenue,Brooklyn,"(40.5936235, -73.9861442)"
Expeditionary Learning School for Community Leaders,2630 Benson Avenue,Brooklyn,"(40.5936235, -73.9861442)"
William E. Grady Career and Technical Education High School,25 Brighton 4Th Road,Brooklyn,"(40.5832433, -73.963729)"
Brooklyn Studio Secondary School,8310 21St Avenue,Brooklyn,"(40.6048465, -73.9947464)"
Midwood High School,2839 Bedford Avenue,Brooklyn,"(40.632889, -73.9523966)"
James Madison High School,3787 Bedford Avenue,Brooklyn,"(40.6099056, -73.9482591)"
Leon M. Goldstein High School for  Sciences,1830 Shore Boulevard,Brooklyn,"(40.5807237, -73.93502099999999)"
Brooklyn College Academy,350 Coney Island Avenue,Brooklyn,"(40.6492022, -73.9718961)"
Brooklyn Collegiate: A College Board School,2021 Bergen Street,Brooklyn,"(40.67443919999999, -73.9133276)"
Frederick Douglass Academy VII High School,226 Bristol Street,Brooklyn,"(40.6655754, -73.9120016)"
Eagle Academy for Young Men II,1137 Herkimer Street,Brooklyn,"(40.6779834, -73.915842)"
Teachers Preparatory High School,226 Bristol Street,Brooklyn,"(40.6655754, -73.9120016)"
Academy of Finance and Enterprise,30-20 Thomson Avenue,Long Island City,"(40.7448591, -73.9369449)"
High School of Applied Communication,30-20 Thomson Avenue,Long Island City,"(40.7448591, -73.9369449)"
Civic Leadership Academy,45-10 94Th Street,Elmhurst,"(40.743204, -73.871482)"
Pan American International High School,45-10 94Th Street,Elmhurst,"(40.743204, -73.871482)"
Bard High School Early College Queens,30-20 Thomson Avenue,Long Island City,"(40.7448591, -73.9369449)"
Newtown High School,48-01 90 Street,Elmhurst,"(40.74083690000001, -73.8739856)"
Grover Cleveland High School,21-27 Himrod Street,Ridgewood,"(40.7116318, -73.9091661)"
Middle College High School at LaGuardia Community College,45-35 Van Dam Street,Long Island City,"(40.743285, -73.93350869999999)"
International High School at LaGuardia Community College,45-35 Van Dam Street,Long Island City,"(40.743285, -73.93350869999999)"
High School for Arts and Business,105-25 Horace Harding Expy N,Corona,"(40.737637, -73.853408)"
Robert F. Wagner Jr. Secondary School for Arts and Technology,47-07 30 Place,Long Island City,"(40.7427084, -73.9363284)"
Maspeth High School,54-40 74Th Street,Elmhurst,"(40.7293201, -73.88729870000002)"
Queens Vocational and Technical High School,37-02 47 Avenue,Long Island City,"(40.74222049999999, -73.9283762)"
Aviation Career & Technical Education High School,45-30 36 Street,Long Island City,"(40.743581, -73.9292176)"
Queens School of Inquiry ,158-40 76 Road,Fresh Meadows,"(40.724191, -73.80937)"
Flushing International High School,144-80 Barclay Avenue,Flushing,"(40.7603435, -73.81790869999999)"
East-West School of International Studies,46-21 Colden Street,Flushing,"(40.7494299, -73.82141)"
World Journalism Preparatory: A College Board School,34-65 192 Street,Flushing,"(40.7648343, -73.7897125)"
John Bowne High School,63-25 Main Street,Flushing,"(40.7387753, -73.8238923)"
Flushing High School,35-01 Union Street,Flushing,"(40.764868, -73.826819)"
Townsend Harris High School,149-11 Melbourne Avenue,Flushing,"(40.735017, -73.821339)"
Robert F. Kennedy Community High School,75-40 Parsons Boulevard,Fresh Meadows,"(40.7253501, -73.8113254)"
Benjamin N. Cardozo High School,57-00 223Rd Street,Oakland Gardens,"(40.7519018, -73.75653129999999)"
Francis Lewis High School,58-20 Utopia Parkway,Fresh Meadows,"(40.7404652, -73.79360919999999)"
Martin Van Buren High School,230-17 Hillside Avenue,Queens Village,"(40.7339036, -73.7392943)"
Bayside High School,32-24 Corporal Kennedy Street,Bayside,"(40.771101, -73.78021)"
Queens High School of Teaching Liberal Arts and  Sciences,74-20 Commonwealth Blvd,Bellerose,"(40.744121, -73.728799)"
Frederick Douglass Academy VI High School,8-21 Bay 25 Street,Far Rockaway,"(40.601532, -73.76397899999999)"
Channel View School for Research,100-00 Beach Channel Drive,Rockaway Park,"(40.5863283, -73.8234859)"
Queens High School for Information Research and Technology,8-21 Bay 25 Street,Far Rockaway,"(40.601532, -73.76397899999999)"
Robert H. Goddard High School of Communication Arts and Technology,138-30 Lafayette Street,Ozone Park,"(40.6712506, -73.8457636)"
Academy of Medical Technology: A College Board School,8-21 Bay 25 Street,Far Rockaway,"(40.601532, -73.76397899999999)"
Scholars' Academy,320 Beach 104Th Street,Rockaway Park,"(40.5842573, -73.825402)"
Rockaway Park High School for Environmental Sustainability,100-00 Beach Channel Drive,Rockaway Park,"(40.5863283, -73.8234859)"
Rockaway Collegiate High School,100-00 Beach Channel Drive,Rockaway Park,"(40.5863283, -73.8234859)"
August Martin High School,156-10 Baisley Boulevard,Jamaica,"(40.6747642, -73.78323259999999)"
Richmond Hill High School,89-30 114 Street,Richmond Hill,"(40.6950764, -73.83377)"
John Adams High School,101-01 Rockaway Boulevard,Ozone Park,"(40.6786025, -73.8369699)"
High School for Construction Trades Engineering and Architecture,94-06 104Th Street,Ozone Park,"(40.6892738, -73.8412316)"
Metropolitan Expeditionary Learning School,91-30 Metropolitan Avenue,Forest Hills,"(40.7088482, -73.8558219)"
York Early College Academy,108-35 167 Street,Jamaica,"(40.6969125, -73.7863958)"
Queens Collegiate: A College Board School,167-01 Gothic Drive,Jamaica,"(40.7141353, -73.7979805)"
Hillside Arts & Letters Academy,167-01 Gothic Drive,Jamaica,"(40.7141353, -73.7979805)"
High School for Community Leadership,167-01 Gothic Drive,Jamaica,"(40.7141353, -73.7979805)"
Jamaica Gateway to  Sciences,167-01 Gothic Drive,Jamaica,"(40.7141353, -73.7979805)"
Forest Hills High School,67-01 110 Street,Forest Hills,"(40.7297887, -73.84474709999999)"
Hillcrest High School,160-05 Highland Avenue,Jamaica,"(40.7118566, -73.7953953)"
Thomas A. Edison Career and Technical Education High School,165-65 84 Avenue,Jamaica,"(40.7160972, -73.7989223)"
Queens Gateway to Health Sciences Secondary School,160-20 Goethals Avenue,Jamaica,"(40.71855, -73.80599099999999)"
QUEENS METROPOLITAN HIGH SCHOOL,91-30 Metropolitan Avenue,Forest Hills,"(40.7088482, -73.8558219)"
Queens High School for  Sciences at York College,94-50 159 Street,Jamaica,"(40.7009286, -73.7983153)"
High School for Law Enforcement and Public Safety,116-25 Guy R Brewer Boulevard,Jamaica,"(40.685933, -73.7835262)"
Young Women's Leadership School Queens,150-91 87 Road,Jamaica,"(40.708383, -73.804153)"
Queens Preparatory Academy,143-10 Springfield Boulevard,Springfield Gardens,"(40.6681047, -73.75789859999999)"
Pathways College Preparatory School: A College Board School,109-89 204 Street,Saint Albans,"(40.7067683, -73.7537928)"
Excelsior Preparatory High School,143-10 Springfield Boulevard,Springfield Gardens,"(40.6681047, -73.75789859999999)"
George Washington Carver High School for  Sciences,143-10 Springfield Boulevard,Springfield Gardens,"(40.6681047, -73.75789859999999)"
Preparatory Academy for Writers: A College Board School,143-10 Springfield Boulevard,Springfield Gardens,"(40.6681047, -73.75789859999999)"
Cambria Heights Academy,188-04 91St Avenue,Hollis,"(40.7119481, -73.77093099999999)"
Mamatics Science Research and Technology Magnet High School,207- 01 116Th Avenue,Cambria Heights,"(40.6981894, -73.74600889999999)"
Humanities & Arts Magnet High School,207- 01 116Th Avenue,Cambria Heights,"(40.6981894, -73.74600889999999)"
Young Women's Leadership School Astoria,23-15 Newtown Avenue,Astoria,"(40.7713192, -73.9241835)"
Academy for Careers in Television and Film,1-50 51St Avenue,Long Island City,"(40.7430801, -73.9592507)"
William Cullen Bryant High School,48-10 31 Avenue,Astoria,"(40.7576896, -73.91037779999999)"
Long Island City High School,14-30 Broadway,Astoria,"(40.7658067, -73.9327717)"
Frank Sinatra School of  Arts High School,35-12 35Th Avenue,Astoria,"(40.756281, -73.9250271)"
Information Technology High School,21-16 44Th Road,Long Island City,"(40.747678, -73.946647)"
Newcomers High School,28-01 41 Avenue,Long Island City,"(40.7514349, -73.9369976)"
Academy of American Studies,28-04 41 Avenue,Long Island City,"(40.7513083, -73.93741059999999)"
Baccalaureate School for Global Education,34-12 36 Avenue,Astoria,"(40.7550085, -73.9268792)"
CSI High School for International Studies,100 Essex Drive,Staten Island,"(40.581969, -74.15935999999999)"
Gaynor McCown Expeditionary Learning School,100 Essex Drive,Staten Island,"(40.581969, -74.15935999999999)"
 Michael J. Petrides School,715 Ocean Terrace,Staten Island,"(40.6084411, -74.1052619)"
New Dorp High School,465 New Dorp Lane,Staten Island,"(40.5695781, -74.1073767)"
Port Richmond High School,85 St Josephs Avenue,Staten Island,"(40.634843, -74.142015)"
Curtis High School,105 Hamilton Avenue,Staten Island,"(40.6449118, -74.08050700000001)"
Tottenville High School,100 Luten Avenue,Staten Island,"(40.528303, -74.193519)"
Susan E. Wagner High School,1200 Manor Road,Staten Island,"(40.5972874, -74.1251624)"
Ralph R. McKee Career and Technical Education High School,290 St Marks Place,Staten Island,"(40.6427954, -74.07925259999999)"
Staten Island Technical High School,485 Clawson Street,Staten Island,"(40.567929, -74.115695)"
 Brooklyn School for Math and Research,400 Irving Avenue,Brooklyn,"(40.6970064, -73.9117456)"
Academy for Environmental Leadership,400 Irving Avenue,Brooklyn,"(40.6970064, -73.9117456)"
EBC High School for Public Service - Bushwick,1155 Dekalb Avenue,Brooklyn,"(40.694733, -73.929295)"
Bushwick School for Social Justice,400 Irving Avenue,Brooklyn,"(40.6970064, -73.9117456)"
Academy of Urban Planning,400 Irving Avenue,Brooklyn,"(40.6970064, -73.9117456)"
All City Leadership Secondary School,321 Palmetto Street,Brooklyn,"(40.6975906, -73.9130974)"
Bushwick Leaders High School for Academic Excellence,797 Bushwick Avenue,Brooklyn,"(40.6953801, -73.92752109999999)"
