School Name,Street Address,City,Coordinates
ESPERANZA PREPARATORY ACADEMY,240 East 109 Street,New York,"(40.7924857, -73.9417246)"
Coalition School for Social Change,2351 1St Avenue,New York,"(40.7992278, -73.9338214)"
Manhattan Center for Science and Mamatics,260 Pleasant Avenue,New York,"(40.794167, -73.932694)"
Park East High School,230 East 105 Street,New York,"(40.7902049, -73.9441678)"
Central Park East High School,1573 Madison Avenue,New York,"(40.7936899, -73.9491583)"
Young Women's Leadership School,105 East 106 Street,New York,"(40.792935, -73.94716799999999)"
Heritage School ,1680 Lexington Avenue,New York,"(40.791964, -73.946878)"
Mott Hall High School,6 Edgecombe Avenue,New York,"(40.8174583, -73.9473723)"
Columbia Secondary School,425 West 123 Street,New York,"(40.8106401, -73.9558474)"
Academy for Social Action: A College Board School,509 West 129 Street,New York,"(40.8154784, -73.9555563)"
Urban Assembly School for  Performing Arts,509 West 129 Street,New York,"(40.8154784, -73.9555563)"
Frederick Douglass Academy,2581 7Th Avenue,New York,"(40.8244633, -73.936447)"
Thurgood Marshall Academy for Learning and Social Change,200-214 West 135Th Street,New York,"(40.8152968, -73.9443043)"
High School for Mamatics Science and Engineering at City College,240 Convent Ave,New York,"(40.8213947, -73.9488459)"
City College Academy of  Arts,4600 Broadway,New York,"(40.8608196, -73.9300663)"
Community Health Academy of  Heights,504 West 158Th Street,New York,"(40.8334867, -73.9424463)"
Washington Heights Expeditionary Learning School,511 West 182Nd Street,New York,"(40.8490987, -73.9311063)"
High School for Excellence and Innovation,650 Academy Street,New York,"(40.8659143, -73.925157)"
 College Academy,549 Audubon Avenue,New York,"(40.8562127, -73.92655429999999)"
High School for Media and Communications,549 Audubon Avenue,New York,"(40.8562127, -73.92655429999999)"
High School for Law and Public Service,549 Audubon Avenue,New York,"(40.8562127, -73.92655429999999)"
High School for Health Careers and Sciences,549 Audubon Avenue,New York,"(40.8562127, -73.92655429999999)"
A. Philip Randolph Campus High School,443 West 135 Street,New York,"(40.818413, -73.9503019)"
Gregorio Luperon High School for Science and Mamatics,501 West 165Th,New York,"(40.8383948, -73.93855719999999)"
South Bronx Preparatory: A College Board School,360 East 145 Street,Bronx,"(40.8137232, -73.9206427)"
International Community High School,345 Brook Avenue,Bronx,"(40.8102834, -73.91810079999999)"
Community School for Social Justice,350 Gerard Avenue,Bronx,"(40.8156492, -73.93043220000001)"
Mott Haven Village Preparatory High School,701 St. Anns Avenue,Bronx,"(40.8181071, -73.9114331)"
University Heights Secondary School,701 St. Anns Avenue,Bronx,"(40.8181071, -73.9114331)"
Hostos-Lincoln Academy of Science,600 Saint Ann'S Avenue,Bronx,"(40.8145265, -73.9123068)"
Foreign Language Academy of Global Studies,470 Jackson Avenue,Bronx,"(40.8109323, -73.9093063)"
Bronx Design and Construction Academy,333 East 151 Street,Bronx,"(40.8185183, -73.91996809999999)"
Bronx Leadership Academy II High School,730 Concourse Village West,Bronx,"(40.8225734, -73.9235453)"
New Explorers High School,730 Concourse Village West,Bronx,"(40.8225734, -73.9235453)"
Urban Assembly School for Careers in Sports,730 Concourse Village West,Bronx,"(40.8225734, -73.9235453)"
 Urban Assembly Bronx Academy of Letters,339 Morris Avenue,Bronx,"(40.81366, -73.92599899999999)"
Alfred E. Smith Career and Technical Education High School,333 East 151 Street,Bronx,"(40.8185183, -73.91996809999999)"
