UNITID_P,INSTNM,BRANCH,State,Sector_desc,men_total,women_total,Total,MURD10,NEG_M10,FORCIB10,NONFOR10,ROBBE10,AGG_A10,BURGLA10,VEHIC10,ARSON10,MURD11,NEG_M11,FORCIB11,NONFOR11,ROBBE11,AGG_A11,BURGLA11,VEHIC11,ARSON11,MURD12,NEG_M12,FORCIB12,NONFOR12,ROBBE12,AGG_A12,BURGLA12,VEHIC12,ARSON12,FILTER10,FILTER11,FILTER12
131520006,Howard University,LAW  SCHOOL (WEST) CAMPUS,DC,"Private nonprofit, 4-year or above",3524,6478,10002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131742001,Medtech Institute,Falls Church Campus,VA,"Private for-profit, 2-year",244,1301,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131742002,Medtech Institute,Medtech Institute - Silver Spring Campus,MD,"Private for-profit, 2-year",244,1301,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131742003,Medtech Institute,"Medtech College - Washington, DC Campus",DC,"Private for-profit, 2-year",244,1301,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131803001,Strayer University-District of Columbia,Main Campus,DC,"Private for-profit, 4-year or above",549,968,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
131803008,Strayer University-District of Columbia,Takoma Park Campus,DC,"Private for-profit, 4-year or above",549,968,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
131803073,Strayer University-District of Columbia,"Milwaukee, WI",WI,"Private for-profit, 4-year or above",549,968,1517,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1
131803074,Strayer University-District of Columbia,"North Indianapolis, IN",IN,"Private for-profit, 4-year or above",549,968,1517,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
131803075,Strayer University-District of Columbia,"Downers Grove, IL",IL,"Private for-profit, 4-year or above",549,968,1517,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
131803076,Strayer University-District of Columbia,"Schaumburg, IL",IL,"Private for-profit, 4-year or above",549,968,1517,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
131830001,National Conservatory of Dramatic Arts,Main Campus,DC,"Private nonprofit, 2-year",17,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
